dn
"ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=schwarz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=drupa,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kritzenb,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=keppler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=zimmermann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ik05,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=thaler,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lt01,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=muehlhoefer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pils,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lenz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hp05,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=czech,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hzimmermann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=unger,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=dietz,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hama,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kruegers,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=rueber,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=haberer,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ratzek,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=fahrbach,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=pruem,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=kretzsch,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=calov,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=muellerk,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cb028,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sn016,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=nb019,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ld010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jz010,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cl07,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss139,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ss136,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=mg051,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=guo,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=hofmann,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cj006,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=jg018,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=lm04,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=al19,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=sj09,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=cheng,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=bo006,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=es024,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ar22,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=ja008,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=aw033,ou=userlist,dc=hdm-stuttgart,dc=de"
"uid=seeger,ou=userlist,dc=hdm-stuttgart,dc=de"
